date,state,retail and recreation,grocery and pharmacy,parks,transit stations,workplaces,residential
2020-02-15,Kuala Lumpur,-6.0,-6.0,-7.0,-4.0,2.0,2.0
2020-02-16,Kuala Lumpur,-8.0,-8.0,-5.0,0.0,-1.0,3.0
2020-02-17,Kuala Lumpur,-6.0,-4.0,-8.0,-4.0,2.0,2.0
2020-02-18,Kuala Lumpur,-10.0,-10.0,-7.0,-5.0,2.0,3.0
2020-02-19,Kuala Lumpur,-7.0,-4.0,0.0,-5.0,3.0,2.0
2020-02-20,Kuala Lumpur,-5.0,-5.0,-2.0,-7.0,3.0,2.0
2020-02-21,Kuala Lumpur,-5.0,-8.0,-4.0,-2.0,7.0,2.0
2020-02-22,Kuala Lumpur,-7.0,-9.0,-4.0,-5.0,2.0,2.0
2020-02-23,Kuala Lumpur,-9.0,-11.0,-3.0,2.0,0.0,2.0
2020-02-24,Kuala Lumpur,-6.0,-8.0,-13.0,-4.0,2.0,2.0
2020-02-25,Kuala Lumpur,-6.0,-9.0,-5.0,-5.0,3.0,2.0
2020-02-26,Kuala Lumpur,-6.0,-5.0,-4.0,-8.0,3.0,2.0
2020-02-27,Kuala Lumpur,-4.0,-4.0,-2.0,-5.0,3.0,2.0
2020-02-28,Kuala Lumpur,0.0,-2.0,-4.0,4.0,7.0,1.0
2020-02-29,Kuala Lumpur,-1.0,-4.0,-11.0,3.0,3.0,1.0
2020-03-01,Kuala Lumpur,-4.0,-4.0,-5.0,10.0,0.0,0.0
2020-03-02,Kuala Lumpur,-5.0,-4.0,-16.0,1.0,3.0,2.0
2020-03-03,Kuala Lumpur,-6.0,-6.0,-14.0,-5.0,3.0,2.0
2020-03-04,Kuala Lumpur,-6.0,0.0,-10.0,-7.0,4.0,2.0
2020-03-05,Kuala Lumpur,-8.0,-7.0,-16.0,-6.0,2.0,2.0
2020-03-06,Kuala Lumpur,-6.0,-5.0,-17.0,-3.0,7.0,3.0
2020-03-07,Kuala Lumpur,-9.0,-4.0,-25.0,-8.0,1.0,3.0
2020-03-08,Kuala Lumpur,-10.0,-5.0,-10.0,0.0,-1.0,2.0
2020-03-09,Kuala Lumpur,-7.0,-4.0,-17.0,-6.0,1.0,3.0
2020-03-10,Kuala Lumpur,-9.0,-7.0,-15.0,-8.0,2.0,3.0
2020-03-11,Kuala Lumpur,-10.0,-3.0,-14.0,-10.0,2.0,3.0
2020-03-12,Kuala Lumpur,-12.0,-4.0,-16.0,-12.0,1.0,3.0
2020-03-13,Kuala Lumpur,-11.0,-4.0,-19.0,-7.0,4.0,3.0
2020-03-14,Kuala Lumpur,-19.0,-8.0,-33.0,-17.0,-3.0,4.0
2020-03-15,Kuala Lumpur,-23.0,-12.0,-28.0,-15.0,-7.0,4.0
2020-03-16,Kuala Lumpur,-13.0,27.0,-28.0,-15.0,-10.0,4.0
2020-03-17,Kuala Lumpur,-17.0,19.0,-37.0,-12.0,-11.0,3.0
2020-03-18,Kuala Lumpur,-68.0,-24.0,-69.0,-56.0,-56.0,28.0
2020-03-19,Kuala Lumpur,-75.0,-30.0,-78.0,-72.0,-63.0,34.0
2020-03-20,Kuala Lumpur,-79.0,-34.0,-85.0,-80.0,-67.0,40.0
2020-03-21,Kuala Lumpur,-83.0,-45.0,-92.0,-82.0,-63.0,35.0
2020-03-22,Kuala Lumpur,-88.0,-66.0,-92.0,-87.0,-60.0,33.0
2020-03-23,Kuala Lumpur,-83.0,-54.0,-88.0,-84.0,-74.0,41.0
2020-03-24,Kuala Lumpur,-83.0,-54.0,-87.0,-85.0,-75.0,41.0
2020-03-25,Kuala Lumpur,-82.0,-47.0,-87.0,-85.0,-75.0,42.0
2020-03-26,Kuala Lumpur,-82.0,-48.0,-87.0,-85.0,-74.0,42.0
2020-03-27,Kuala Lumpur,-82.0,-47.0,-88.0,-86.0,-72.0,44.0
2020-03-28,Kuala Lumpur,-85.0,-57.0,-92.0,-86.0,-66.0,37.0
2020-03-29,Kuala Lumpur,-87.0,-65.0,-91.0,-88.0,-60.0,32.0
2020-03-30,Kuala Lumpur,-82.0,-52.0,-88.0,-86.0,-74.0,41.0
2020-03-31,Kuala Lumpur,-82.0,-54.0,-87.0,-85.0,-74.0,40.0
2020-04-01,Kuala Lumpur,-83.0,-56.0,-87.0,-86.0,-74.0,41.0
2020-04-02,Kuala Lumpur,-84.0,-55.0,-87.0,-87.0,-75.0,43.0
2020-04-03,Kuala Lumpur,-84.0,-55.0,-91.0,-88.0,-73.0,46.0
2020-04-04,Kuala Lumpur,-86.0,-63.0,-93.0,-87.0,-66.0,39.0
2020-04-05,Kuala Lumpur,-87.0,-67.0,-93.0,-88.0,-60.0,33.0
2020-04-06,Kuala Lumpur,-82.0,-53.0,-89.0,-86.0,-73.0,41.0
2020-04-07,Kuala Lumpur,-83.0,-56.0,-89.0,-86.0,-74.0,42.0
