date,city,driving_waze,state
2020-03-01,Ipoh,24.0,Perak
2020-03-02,Ipoh,10.0,Perak
2020-03-03,Ipoh,-2.0,Perak
2020-03-04,Ipoh,-3.0,Perak
2020-03-05,Ipoh,13.0,Perak
2020-03-06,Ipoh,-2.0,Perak
2020-03-07,Ipoh,2.0,Perak
2020-03-08,Ipoh,14.000000000000002,Perak
2020-03-09,Ipoh,3.0,Perak
2020-03-10,Ipoh,4.0,Perak
2020-03-11,Ipoh,-3.0,Perak
2020-03-12,Ipoh,6.0,Perak
2020-03-13,Ipoh,10.0,Perak
2020-03-14,Ipoh,20.0,Perak
2020-03-15,Ipoh,30.0,Perak
2020-03-16,Ipoh,29.0,Perak
2020-03-17,Ipoh,30.0,Perak
2020-03-18,Ipoh,-45.0,Perak
2020-03-19,Ipoh,-63.0,Perak
2020-03-20,Ipoh,-76.0,Perak
2020-03-21,Ipoh,-82.0,Perak
2020-03-22,Ipoh,-89.0,Perak
2020-03-23,Ipoh,-81.0,Perak
2020-03-24,Ipoh,-87.0,Perak
2020-03-25,Ipoh,-94.0,Perak
2020-03-26,Ipoh,-81.0,Perak
2020-03-27,Ipoh,-80.0,Perak
2020-03-28,Ipoh,-89.0,Perak
2020-03-29,Ipoh,-84.0,Perak
2020-03-30,Ipoh,-74.0,Perak
2020-03-31,Ipoh,-80.0,Perak
2020-04-01,Ipoh,-82.0,Perak
2020-04-02,Ipoh,-75.0,Perak
2020-04-03,Ipoh,-92.0,Perak
2020-04-04,Ipoh,-89.0,Perak
2020-04-05,Ipoh,-84.0,Perak
2020-04-06,Ipoh,-81.0,Perak
2020-04-07,Ipoh,-87.0,Perak
2020-04-08,Ipoh,-82.0,Perak
2020-04-09,Ipoh,-81.0,Perak
2020-04-10,Ipoh,-88.0,Perak
2020-04-11,Ipoh,-89.0,Perak
2020-04-12,Ipoh,-84.0,Perak
2020-04-13,Ipoh,-81.0,Perak
2020-04-14,Ipoh,-74.0,Perak
2020-04-15,Ipoh,-76.0,Perak
2020-04-16,Ipoh,-81.0,Perak
2020-04-17,Ipoh,-84.0,Perak
2020-04-18,Ipoh,-89.0,Perak
2020-04-19,Ipoh,-78.0,Perak
2020-04-20,Ipoh,-81.0,Perak
2020-04-21,Ipoh,-67.0,Perak
2020-04-22,Ipoh,-76.0,Perak
2020-04-23,Ipoh,-81.0,Perak
2020-04-24,Ipoh,-84.0,Perak
2020-04-25,Ipoh,-89.0,Perak
2020-04-26,Ipoh,-84.0,Perak
2020-04-27,Ipoh,-68.0,Perak
2020-04-28,Ipoh,-87.0,Perak
2020-04-29,Ipoh,-76.0,Perak
2020-04-30,Ipoh,-69.0,Perak
2020-05-01,Ipoh,-92.0,Perak
2020-05-02,Ipoh,-78.0,Perak
2020-05-03,Ipoh,-84.0,Perak
2020-05-04,Ipoh,-68.0,Perak
2020-05-05,Ipoh,-67.0,Perak
2020-05-06,Ipoh,-70.0,Perak
2020-05-07,Ipoh,-50.0,Perak
2020-05-08,Ipoh,-84.0,Perak
2020-05-09,Ipoh,-75.0,Perak
2020-05-10,Ipoh,-56.99999999999999,Perak
2020-05-11,Ipoh,-68.0,Perak
2020-05-12,Ipoh,-61.0,Perak
2020-05-13,Ipoh,-57.99999999999999,Perak
2020-05-14,Ipoh,-50.0,Perak
2020-05-15,Ipoh,-63.0,Perak
2020-05-16,Ipoh,-71.0,Perak
2020-05-17,Ipoh,-68.0,Perak
2020-05-18,Ipoh,-55.00000000000001,Perak
2020-05-19,Ipoh,-90.0,Perak
2020-05-20,Ipoh,-44.0,Perak
2020-05-21,Ipoh,-42.0,Perak
2020-05-22,Ipoh,-81.0,Perak
2020-05-23,Ipoh,-82.0,Perak
2020-05-24,Ipoh,-77.0,Perak
2020-05-25,Ipoh,-86.0,Perak
2020-05-26,Ipoh,-71.0,Perak
2020-05-27,Ipoh,-54.0,Perak
2020-05-28,Ipoh,-68.0,Perak
2020-05-29,Ipoh,-72.0,Perak
2020-05-30,Ipoh,-77.0,Perak
2020-05-31,Ipoh,-64.0,Perak
2020-06-01,Ipoh,-46.0,Perak
2020-06-02,Ipoh,-54.0,Perak
2020-06-03,Ipoh,-46.0,Perak
2020-06-04,Ipoh,-39.0,Perak
2020-06-05,Ipoh,-38.0,Perak
2020-06-06,Ipoh,-70.0,Perak
2020-06-07,Ipoh,-64.0,Perak
