date,city,congestion,diffRatio
2019-12-30,Kuala Lumpur,23,-0.1481481481481481
2019-12-31,Kuala Lumpur,30,-0.032258064516129
2020-01-01,Kuala Lumpur,10,-0.6774193548387096
2020-01-02,Kuala Lumpur,22,-0.3333333333333333
2020-01-03,Kuala Lumpur,28,-0.2631578947368421
2020-01-04,Kuala Lumpur,18,-0.28
2020-01-05,Kuala Lumpur,8,-0.3333333333333333
2020-01-06,Kuala Lumpur,36,0.3333333333333333
2020-01-07,Kuala Lumpur,37,0.1935483870967742
2020-01-08,Kuala Lumpur,37,0.1935483870967742
2020-01-09,Kuala Lumpur,39,0.1818181818181818
2020-01-10,Kuala Lumpur,48,0.2631578947368421
2020-01-11,Kuala Lumpur,25,0.0
2020-01-12,Kuala Lumpur,12,0.0
2020-01-13,Kuala Lumpur,42,0.5555555555555556
2020-01-14,Kuala Lumpur,40,0.2903225806451613
2020-01-15,Kuala Lumpur,40,0.2903225806451613
2020-01-16,Kuala Lumpur,46,0.3939393939393939
2020-01-17,Kuala Lumpur,49,0.2894736842105263
2020-01-18,Kuala Lumpur,28,0.12
2020-01-19,Kuala Lumpur,15,0.25
2020-01-20,Kuala Lumpur,46,0.7037037037037037
2020-01-21,Kuala Lumpur,44,0.4193548387096774
2020-01-22,Kuala Lumpur,46,0.4838709677419355
2020-01-23,Kuala Lumpur,25,-0.2424242424242425
2020-01-24,Kuala Lumpur,11,-0.7105263157894737
2020-01-25,Kuala Lumpur,8,-0.68
2020-01-26,Kuala Lumpur,4,-0.6666666666666666
2020-01-27,Kuala Lumpur,5,-0.8148148148148148
2020-01-28,Kuala Lumpur,12,-0.6129032258064516
2020-01-29,Kuala Lumpur,22,-0.2903225806451613
2020-01-30,Kuala Lumpur,22,-0.3333333333333333
2020-01-31,Kuala Lumpur,27,-0.2894736842105263
2020-02-01,Kuala Lumpur,14,-0.44
2020-02-02,Kuala Lumpur,10,-0.1666666666666666
2020-02-03,Kuala Lumpur,32,0.1851851851851852
2020-02-04,Kuala Lumpur,34,0.0967741935483871
2020-02-05,Kuala Lumpur,37,0.1935483870967742
2020-02-06,Kuala Lumpur,38,0.1515151515151515
2020-02-07,Kuala Lumpur,40,0.0526315789473684
2020-02-08,Kuala Lumpur,13,-0.48
2020-02-09,Kuala Lumpur,13,0.0833333333333333
2020-02-10,Kuala Lumpur,34,0.2592592592592592
2020-02-11,Kuala Lumpur,33,0.064516129032258
2020-02-12,Kuala Lumpur,32,0.032258064516129
2020-02-13,Kuala Lumpur,38,0.1515151515151515
2020-02-14,Kuala Lumpur,58,0.5263157894736842
2020-02-15,Kuala Lumpur,23,-0.08
2020-02-16,Kuala Lumpur,10,-0.1666666666666666
2020-02-17,Kuala Lumpur,32,0.1851851851851852
2020-02-18,Kuala Lumpur,36,0.1612903225806451
2020-02-19,Kuala Lumpur,34,0.0967741935483871
2020-02-20,Kuala Lumpur,36,0.0909090909090909
2020-02-21,Kuala Lumpur,38,0.0
2020-02-22,Kuala Lumpur,21,-0.16
2020-02-23,Kuala Lumpur,10,-0.1666666666666666
2020-02-24,Kuala Lumpur,30,0.1111111111111111
2020-02-25,Kuala Lumpur,34,0.0967741935483871
2020-02-26,Kuala Lumpur,35,0.1290322580645161
2020-02-27,Kuala Lumpur,34,0.0303030303030303
2020-02-28,Kuala Lumpur,40,0.0526315789473684
2020-02-29,Kuala Lumpur,26,0.04
2020-03-01,Kuala Lumpur,13,0.0833333333333333
2020-03-02,Kuala Lumpur,34,0.2592592592592592
2020-03-03,Kuala Lumpur,36,0.1612903225806451
2020-03-04,Kuala Lumpur,33,0.064516129032258
2020-03-05,Kuala Lumpur,42,0.2727272727272727
2020-03-06,Kuala Lumpur,44,0.1578947368421052
2020-03-07,Kuala Lumpur,22,-0.12
2020-03-08,Kuala Lumpur,9,-0.25
2020-03-09,Kuala Lumpur,28,0.037037037037037
2020-03-10,Kuala Lumpur,31,0.0
2020-03-11,Kuala Lumpur,34,0.0967741935483871
2020-03-12,Kuala Lumpur,31,-0.0606060606060606
2020-03-13,Kuala Lumpur,31,-0.1842105263157894
2020-03-14,Kuala Lumpur,12,-0.52
2020-03-15,Kuala Lumpur,3,-0.75
2020-03-16,Kuala Lumpur,18,-0.3333333333333333
2020-03-17,Kuala Lumpur,26,-0.1612903225806451
2020-03-18,Kuala Lumpur,2,-0.935483870967742
2020-03-19,Kuala Lumpur,0,-1.0
2020-03-20,Kuala Lumpur,0,-1.0
2020-03-21,Kuala Lumpur,1,-0.96
2020-03-22,Kuala Lumpur,0,-1.0
2020-03-23,Kuala Lumpur,2,-0.925925925925926
2020-03-24,Kuala Lumpur,2,-0.935483870967742
2020-03-25,Kuala Lumpur,1,-0.967741935483871
2020-03-26,Kuala Lumpur,1,-0.9696969696969696
2020-03-27,Kuala Lumpur,1,-0.9736842105263158
2020-03-28,Kuala Lumpur,0,-1.0
2020-03-29,Kuala Lumpur,0,-1.0
2020-03-30,Kuala Lumpur,1,-0.9629629629629628
2020-03-31,Kuala Lumpur,2,-0.935483870967742
2020-04-01,Kuala Lumpur,1,-0.967741935483871
2020-04-02,Kuala Lumpur,1,-0.9696969696969696
2020-04-03,Kuala Lumpur,2,-0.9473684210526316
2020-04-04,Kuala Lumpur,0,-1.0
2020-04-05,Kuala Lumpur,0,-1.0
2020-04-06,Kuala Lumpur,1,-0.9629629629629628
2020-04-07,Kuala Lumpur,2,-0.935483870967742
2020-04-08,Kuala Lumpur,1,-0.967741935483871
2020-04-09,Kuala Lumpur,1,-0.9696969696969696
2020-04-10,Kuala Lumpur,1,-0.9736842105263158
2020-04-11,Kuala Lumpur,0,-1.0
2020-04-12,Kuala Lumpur,0,-1.0
2020-04-13,Kuala Lumpur,2,-0.925925925925926
